provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Herbivory,,eats,http://purl.obolibrary.org/obo/RO_0002470
Kleptoparasitism,,kleptoParasiteOf,http://purl.obolibrary.org/obo/RO_0008503
Kleptoparasitism; Parasitoidism,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
Parasitism,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
Parasitoidism,,parasitoidOf,http://purl.obolibrary.org/obo/RO_0002208
Pollination,,pollinates,http://purl.obolibrary.org/obo/RO_0002455
Predation,,preysOn,http://purl.obolibrary.org/obo/RO_0002439
